fase,experimento,modelo,semilla,accuracy,precision,recall,f1_score,es_modelo_final
Fase 4B,Modelos avanzados,Balanced RF,42,0.8929656639319355,0.07089804186360567,0.7608695652173914,0.12970969734403953,0
Fase 4B,Modelos avanzados,SMOTE + Random Forest,42,0.9891370404132482,0.3333333333333333,0.036231884057971016,0.06535947712418301,0
Fase 4B,Modelos avanzados,XGBoost,42,0.9390003038590095,0.09500609013398295,0.5652173913043478,0.16266944734098018,0
Fase 4B,Feature Engineering temporal,Random Forest + Feature Engineering temporal,42,0.9756912792464296,0.15267175572519084,0.2898550724637681,0.2,1
Fase 4B,Validación multisemilla,Random Forest Optimizado,42,,,,0.1964,0
Fase 4B,Validación multisemilla,Random Forest Optimizado,7,,,,0.2379,0
Fase 4B,Validación multisemilla,Random Forest Optimizado,123,,,,0.2467,0
Fase 4B,Validación multisemilla,Random Forest Optimizado,2025,,,,0.2105,0
Fase 4B,Validación multisemilla,Random Forest Optimizado,999,,,,0.2637,0
Fase 4B,Validación multisemilla,Random Forest + Feature Engineering temporal,42,,,,0.2,1
Fase 4B,Validación multisemilla,Random Forest + Feature Engineering temporal,7,,,,0.2494,1
Fase 4B,Validación multisemilla,Random Forest + Feature Engineering temporal,123,,,,0.2398,1
Fase 4B,Validación multisemilla,Random Forest + Feature Engineering temporal,2025,,,,0.256,1
Fase 4B,Validación multisemilla,Random Forest + Feature Engineering temporal,999,,,,0.2494,1
